Account	the	and	for	you	this	with	your	that	are	from	our	all	now	new	amp	out	more	can	get	have	what	one	here	her	has	their	world	was	will	about	but	time	his	just	they	see	who	how	best	she	today	day	love	first	like	year	these	when	not	some	only	after	make	season	tonight	team	via	there	back	thank	don	know	into	watch	off	happy	years	its	home	them	most	been	over	recipe	holiday	two	good	live	check	family	great	tickets	week	last	help	streaming	take	right	than	life	black	theaters	learn	game	let	join	find	special	people	stream	next	night	around	big	tour	ever	favorite	through	way	meet	which	full	november	got	christmas	want	look	oreo	every	amazing	very	ready	women	need	had	other	final	disney	old	image	episode	show	bub	also	well	studios	never	traworlds	win	pts	miss	thanksgiving	earth	marvel	dog	experience	down	made	where	ocean	fallontonight	moon	many	little	long	top	animals	why	everyone	thanks	going	always	gbbo	strangeworld	tomorrow	pet	would	before	celebrate	friday	looking	mission	him	city	man	come	read	perfect	panther	work	much	being	may	were	say	nfl	could	usa	free	any	story	visit	follow	space	hubble	movie	wakandaforever	house	star	food	better	cup	even	men	double	book	support	history	cat	december	friends	did	fun	shows	too	light	weekend	national	together	things	part	please	available	video	think	event	playing	news	series	cookies	while	animal	coming	said	baby	still	because	friend	zoo	halloween	making	during	wednesday	spacecraft	pop	cookie	another	dogs	virginia	state	play	travel	nasa	birthday	give	disneyplus	artemis	hope	stars	second	gymnastics	trampoline	share	sale	blackadam	should	excited	proud	water	young	sea	enjoy	days	art	ast	oct	reb	climate	trip	set	place	netflix	gift	million	hours	vsp	catch	three	red	between	latest	again	below	wait	same	month	galaxy	care	getting	change	something	against	sweet	monday	wildlife	incredible	pets	saturday	october	stay	explore	sunday	round	tarts	south	photo	guys	journey	country	list	hear	says	own	four	sure	past	youthsports	petfinder	american	along	those	keep	small	really	music	app	lead	stories	york	link	forever	watching	nba	stop	each	then	medal	tribe	everything	premieres	near	system	away	dinner	doing	lecheminduroi	gotribe	across	moments	view	tune	fans	congrats	twitter	episodes	grumpy	moment	treat	premiere	fox	comes	solar	left	data	without	party	different	tell	until	beautiful	won	does	since	chance	adventure	thing	gold	bake	tumbling	behind	students	future	high	planet	hot	needs	soon	download	nov	album	hotel	bransoncognac	wonderreturns	finals	america	adorable	cubs	wild	lot	makes	welcome	views	call	loves	original	gets	bring	seen	record	president	must	start	recipes	fall	starts	green	cruise	champion	hard	film	use	community	others	move	takes	close	head	title	summer	cast	kids	holidays	glg	both	cheetah	park	lights	few	gas	boo	texas	keepers	song	adopt	sofia	lol	brown	wants	mini	found	including	end	listen	try	match	easy	cbs	known	winter	white	service	click	impact	tweet	ice	launch	might	cream	score	games	cake	mom	images	scientists	school	camp	starting	details	tuesday	football	lil	real	save	looks	called	police	group	ahead	eyes	taking
JohnCena	98	69	37	66	6	16	17	11	21	10	12	18	4	7	5	9	11	17	5	15	10	5	2	1	5	0	0	2	12	6	3	6	2	11	5	6	20	7	7	1	0	4	9	1	0	0	0	11	16	3	4	0	5	0	0	0	0	11	2	9	3	3	4	0	2	3	0	1	0	8	2	2	5	0	0	1	6	4	2	0	2	0	0	1	4	1	0	2	4	8	0	0	6	0	4	0	5	1	3	0	2	0	1	1	0	2	0	0	0	0	2	0	0	0	0	4	0	0	5	1	2	0	0	0	3	2	1	0	1	0	0	1	0	1	2	0	7	0	0	0	1	0	0	0	0	6	1	2	4	0	0	0	4	1	1	0	0	4	4	1	0	4	0	0	3	0	1	4	1	0	0	0	0	0	1	2	0	2	0	7	8	12	1	4	2	0	3	0	0	4	1	1	1	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	1	1	6	1	2	1	0	0	2	2	1	1	2	0	4	1	0	1	0	0	1	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	3	0	0	4	2	2	0	1	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	2	2	7	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	1	2	0	0	0	0	9	3	1	1	0	0	1	2	0	0	0	0	0	0	3	1	0	0	2	1	0	0	1	0	4	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	5	0	0	4	0	0	2	0	0	2	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	15	2	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1
netflix	82	41	15	19	14	17	4	13	5	14	3	4	19	9	7	7	3	2	2	2	2	9	4	4	5	4	1	5	3	5	2	5	1	4	5	1	6	6	0	4	1	1	5	5	4	1	7	5	3	3	3	6	2	11	0	0	2	2	5	0	2	3	4	0	1	1	1	1	0	0	6	1	1	0	1	4	1	0	0	3	0	0	2	1	2	3	2	0	0	3	0	3	1	1	1	1	1	0	2	0	1	3	1	2	0	3	0	1	0	0	2	1	2	0	5	2	2	0	1	0	0	0	0	0	1	2	1	0	0	0	2	2	0	1	2	0	2	0	0	0	1	2	2	0	0	1	0	3	2	0	0	0	2	1	0	0	0	2	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	2	1	0	0	3	0	0	1	0	1	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	1	0	11	0	1	1	0	1	0	0	0	2	1	3	0	0	0	0	2	2	0	5	0	1	0	3	2	1	1	0	0	0	0	2	1	17	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	25	0	1	3	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	3	2	0	0	0	1	0	0	4	0	2	1	1	0	0	1	10	1	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	2	4	1	0	1	0	0	0	2	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
amazonbooks	106	53	32	36	13	32	32	4	12	13	19	9	6	24	11	44	20	4	8	4	10	6	41	11	3	2	4	1	9	13	3	5	7	9	2	5	3	2	14	1	8	1	11	3	3	1	17	5	1	9	1	0	0	4	0	2	0	2	0	0	3	6	9	6	1	1	0	2	0	4	1	1	3	2	0	0	1	6	38	2	2	0	4	3	1	0	0	13	2	2	2	0	2	0	4	6	5	2	0	0	4	1	1	1	0	2	6	1	0	0	1	3	3	4	0	4	1	0	1	3	0	5	0	1	0	1	2	0	0	0	0	0	0	0	3	0	1	0	0	0	1	3	2	0	0	0	2	0	1	0	0	0	0	0	0	5	0	1	0	0	2	1	0	0	1	0	1	1	2	0	4	0	0	0	0	1	9	2	2	2	1	1	1	0	1	0	0	0	0	2	1	0	0	0	0	1	1	0	1	1	3	0	0	0	0	25	0	4	0	0	2	0	2	1	1	0	1	0	2	1	0	1	3	0	0	0	0	1	5	0	1	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	3	0	0	0	0	3	0	0	3	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	2	0	4	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	3	4	8	1	0	0	2	1	2	0	0	0	0	1	0	0	4	1	0	0	0	1	0	0	3	12	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	2	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	7	1	0	0	3	2	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	3	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
aliciakeys	43	12	16	27	17	11	9	14	5	0	7	9	6	5	5	3	2	7	4	8	12	5	2	2	2	1	2	11	0	7	3	4	1	2	0	4	4	6	1	0	2	3	14	2	3	2	1	3	1	3	1	0	3	0	2	0	0	1	4	3	3	3	2	1	0	2	0	1	0	0	1	3	1	1	8	0	5	4	1	2	1	0	1	2	0	0	1	4	1	0	0	0	0	1	8	1	1	1	0	1	1	4	0	5	1	2	4	2	0	0	4	1	0	4	2	2	1	0	0	1	0	2	0	2	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	3	2	0	0	0	0	2	1	2	1	0	0	1	0	1	0	3	0	1	0	1	0	0	4	0	1	0	1	1	2	0	0	1	0	0	0	0	1	1	0	0	2	0	3	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	4	0	0	1	0	0	0	2	3	1	0	0	0	2	0	0	0	1	0	1	0	5	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
BleacherReport	56	11	11	1	9	4	0	5	4	1	0	4	3	0	0	5	1	0	1	0	3	4	0	0	7	1	3	1	0	1	0	7	5	2	1	0	3	1	0	0	3	2	1	3	0	6	0	0	1	1	0	3	1	3	2	3	37	3	4	0	2	0	1	1	2	0	1	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	2	3	0	0	2	3	1	0	0	0	0	4	0	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	8	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2
SportsCenter	67	15	16	0	19	9	2	2	5	7	0	6	1	0	1	2	1	1	0	1	2	2	1	0	1	4	7	11	0	1	1	3	6	3	1	0	1	2	0	0	0	3	0	3	1	1	0	2	4	0	5	5	0	1	1	5	12	0	4	0	0	1	1	0	2	1	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	3	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
people	28	29	18	3	9	14	2	4	5	3	1	2	0	2	2	2	4	1	1	1	2	3	1	20	1	5	2	6	3	1	2	2	7	2	5	3	5	0	3	11	0	2	5	4	1	3	2	2	3	1	0	10	1	0	0	1	0	1	1	0	0	1	0	1	5	0	2	1	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0	2	0	0	3	0	2	0	0	2	0	0	2	0	1	3	0	1	0	1	1	0	1	0	0	0	1	1	1	2	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	2	0	0	0	2	0	1	1	1	1	0	0	0	1	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	3	0	0	0	7	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1
TheRock	125	77	56	51	27	15	13	11	3	9	42	21	10	17	16	9	2	5	3	4	7	5	3	2	2	10	8	20	6	5	6	3	2	5	4	13	3	2	5	3	1	6	6	5	2	0	1	9	5	5	6	3	6	2	16	2	0	3	6	24	3	5	1	0	3	5	8	2	5	1	6	2	2	0	0	1	9	2	2	1	11	0	4	3	0	0	1	2	0	5	5	1	1	5	2	3	1	3	2	0	2	2	1	8	1	2	1	0	0	0	0	1	1	1	4	2	4	0	3	3	7	3	0	0	2	2	1	0	4	0	2	2	0	2	7	0	5	0	1	0	4	0	0	0	0	1	2	1	0	0	0	0	1	4	2	1	0	0	8	5	1	12	0	0	9	0	6	1	0	0	1	0	2	0	11	2	0	2	0	2	8	2	0	0	0	0	1	0	0	0	0	0	0	1	0	15	0	0	0	0	1	0	0	0	0	0	4	0	0	0	2	0	3	0	1	1	3	1	1	0	3	0	5	0	3	0	1	1	0	0	0	0	2	3	3	0	0	4	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	53	2	0	6	0	2	3	16	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	3	1	0	2	0	2	2	1	0	0	0	1	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	3	2	1	0	0	0	0	0	4	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	5	2	0	0	0	4	0	2	0	2	0	1	0	0	1	0	3	2	2	0	2	2	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	3	0	2	0	0	0	3	1	0	1	0	1	0	0	1	0	0	0	4	4	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	4	0	0	2	0	0	1	4	0	1	4	3	0	0	0	0	0	1	6	0	0	0	1	0	0	0	1	0	0	0	0	0	1
GMA	107	37	38	11	23	23	10	12	13	8	3	4	1	8	0	9	17	4	2	1	9	7	9	19	27	4	1	4	5	7	0	5	8	4	2	4	3	1	3	6	1	2	2	2	3	6	3	4	1	4	0	11	4	10	0	3	0	3	1	0	2	5	5	4	1	3	2	1	4	2	2	0	4	5	14	1	1	0	2	4	0	1	3	0	1	0	1	0	3	0	2	0	0	2	0	0	1	0	1	0	1	0	0	4	0	3	2	3	6	0	1	0	0	1	5	2	4	0	0	0	0	1	3	3	2	0	1	1	5	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	4	1	2	0	1	1	0	0	0	3	1	1	2	5	2	1	0	0	2	0	1	3	1	2	0	0	3	0	1	1	0	0	0	0	1	1	0	0	1	0	4	1	1	1	0	0	2	1	1	1	8	0	2	1	0	0	1	0	1	0	0	0	0	2	0	0	1	0	3	0	0	0	1	2	2	1	4	1	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	8	1	1	0	0	0	0	1	3	0	0	1	0	1	0	1	1	2	0	3	3	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	3	1	0	0	0	1	4	0	0	4	0	0	0	0	2	1	0	0	0	0	1	0	1	2	1	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	4	0	0	0	0	0	1	0	1	0	3	1	1	1	2	0	3	2	0	0	0	1	0	0	1	1	0	1	0	0	1	2	3	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	2	0	2	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	1	3	0	0	0	0	0	1
FallonTonight	47	17	12	6	2	12	2	5	0	17	0	7	1	11	2	5	0	2	2	3	3	2	6	3	4	0	0	3	1	5	1	5	17	1	1	1	0	1	0	4	0	1	0	2	4	4	0	1	1	0	0	6	3	2	19	1	0	0	1	1	0	2	1	4	4	1	2	0	0	0	2	1	0	0	7	4	1	5	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	7	1	2	0	1	0	1	0	0	0	1	1	0	0	5	0	3	8	1	0	0	0	0	1	0	1	0	2	0	0	0	2	0	2	8	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	1	0	91	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	2	0	0	1	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
Oprah	112	68	40	55	23	17	19	21	9	13	22	21	14	14	9	7	1	10	5	8	13	10	13	25	4	8	6	8	8	15	10	7	6	3	2	7	9	6	3	8	5	1	9	9	1	5	2	4	2	2	6	1	0	5	7	0	0	6	4	14	0	3	2	7	1	1	6	2	3	2	1	2	6	0	1	3	2	3	0	5	5	1	1	4	2	1	2	3	1	10	3	2	0	1	2	12	1	3	8	2	10	3	1	3	1	2	2	5	1	1	3	7	1	0	0	4	2	0	2	0	0	4	8	4	2	0	2	0	2	0	4	1	0	4	0	0	2	0	1	0	0	0	1	0	0	0	5	2	0	0	0	0	3	1	2	0	0	3	1	0	5	1	0	0	3	0	1	1	0	0	0	0	2	1	0	4	2	1	0	1	4	3	1	0	3	0	1	0	4	2	2	2	3	0	0	1	0	2	1	0	1	0	2	0	0	12	0	2	0	2	0	4	2	0	1	0	0	0	2	3	4	0	4	0	2	2	0	0	1	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	10	0	1	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	3	2	2	1	0	0	0	0	0	0	0	3	0	0	2	1	2	0	0	2	4	0	1	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	2	0	3	2	0	6	0	3	0	0	0	1	0	1	1	2	0	0	0	1	2	0	2	2	1	0	1	0	2	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	4	0	0	0	0	0	1	0	0	0	1	1	1	3	1	0	0	1	0	2	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0
Forbes	97	41	17	6	5	13	6	15	8	13	4	6	4	8	1	3	8	1	3	4	4	7	4	2	16	8	8	1	8	2	4	1	7	4	2	6	7	9	6	4	3	3	1	6	5	7	2	2	8	1	1	5	2	2	0	0	1	1	1	0	0	1	4	0	1	0	2	5	0	2	6	4	3	0	3	3	3	0	0	1	1	0	3	1	0	0	1	2	8	0	1	0	0	0	1	0	1	0	6	0	3	1	1	2	0	0	2	0	1	9	2	5	0	0	0	2	0	0	1	0	0	2	2	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	5	2	0	0	1	1	1	0	2	0	5	3	2	0	0	0	0	5	0	1	0	0	0	1	0	1	1	0	0	4	1	0	3	0	2	3	0	1	2	2	0	0	0	1	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	2	0	1	0	4	2	0	2	3	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	10	0	0	2	0	0	0	0	0	0	1	0	0	2	12	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	10	1	5	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	0	1	1	2	2	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	3	1	2	0	0	0	1	0	1	0	1	3	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	1	1	2	0	0	1
